id,username,firstname,lastname,email,program,student_level,cohort_start,deleted
21,veronica.bowman21,Veronica,Bowman,veronica.bowman@sjsu.edu,MS Business Analytics,Graduate Student,2025-07-04,0
22,gabrielle.cameron22,Gabrielle,Cameron,gabrielle.cameron@sjsu.edu,MS Business Analytics,Teaching Assistant,2025-12-04,0
23,jeremy.johnson23,Jeremy,Johnson,jeremy.johnson@sjsu.edu,MS Business Analytics,Teaching Assistant,2025-01-16,0
24,joseph.clark24,Joseph,Clark,joseph.clark@sjsu.edu,MS Business Analytics,Graduate Student,2026-03-31,0
25,nancy.edwards25,Nancy,Edwards,nancy.edwards@sjsu.edu,MS Business Analytics,Teaching Assistant,2025-09-11,0
26,randall.rocha26,Randall,Rocha,randall.rocha@sjsu.edu,MS Business Analytics,Graduate Student,2025-04-26,0
27,joseph.wright27,Joseph,Wright,joseph.wright@sjsu.edu,MS Business Analytics,Teaching Assistant,2025-07-07,0
28,jose.richards28,Jose,Richards,jose.richards@sjsu.edu,MS Business Analytics,Teaching Assistant,2026-02-28,0
29,reginald.robinson29,Reginald,Robinson,reginald.robinson@sjsu.edu,MS Business Analytics,Teaching Assistant,2026-05-09,0
30,william.davis30,William,Davis,william.davis@sjsu.edu,MS Business Analytics,Teaching Assistant,2024-07-12,0
31,daniel.burton31,Daniel,Burton,daniel.burton@sjsu.edu,MS Business Analytics,Graduate Student,2025-12-16,0
32,robert.brown32,Robert,Brown,robert.brown@sjsu.edu,MS Business Analytics,Graduate Student,2025-03-03,0
33,wendy.rice33,Wendy,Rice,wendy.rice@sjsu.edu,MS Data Science,Graduate Student,2026-04-20,0
34,michelle.smith34,Michelle,Smith,michelle.smith@sjsu.edu,MS Data Science,Teaching Assistant,2025-10-27,0
35,erin.herrera35,Erin,Herrera,erin.herrera@sjsu.edu,MS Data Science,Graduate Student,2024-12-13,0
36,danielle.rodriguez36,Danielle,Rodriguez,danielle.rodriguez@sjsu.edu,MS Data Science,Graduate Student,2025-04-09,0
37,shawn.mckay37,Shawn,Mckay,shawn.mckay@sjsu.edu,MS Data Science,Graduate Student,2026-02-12,0
38,jose.mason38,Jose,Mason,jose.mason@sjsu.edu,MS Data Science,Teaching Assistant,2024-10-12,0
39,rita.harrell39,Rita,Harrell,rita.harrell@sjsu.edu,MS Data Science,Graduate Student,2025-01-04,0
40,danielle.lynch40,Danielle,Lynch,danielle.lynch@sjsu.edu,MS Data Science,Graduate Student,2024-09-24,0
41,kathryn.ryan41,Kathryn,Ryan,kathryn.ryan@sjsu.edu,MS Data Science,Graduate Student,2025-12-06,0
42,alyssa.smith42,Alyssa,Smith,alyssa.smith@sjsu.edu,MS Data Science,Graduate Student,2025-01-22,0
43,andrew.hickman43,Andrew,Hickman,andrew.hickman@sjsu.edu,MS Data Science,Graduate Student,2026-02-14,0
44,marie.parker44,Marie,Parker,marie.parker@sjsu.edu,MS Data Science,Graduate Student,2024-07-19,0
45,natalie.arroyo45,Natalie,Arroyo,natalie.arroyo@sjsu.edu,MS Data Science,Graduate Student,2024-08-08,0
46,todd.jones46,Todd,Jones,todd.jones@sjsu.edu,MS Data Science,Graduate Student,2025-11-24,0
47,katie.anderson47,Katie,Anderson,katie.anderson@sjsu.edu,MS Data Science,Graduate Student,2025-05-08,0
48,andrea.baker48,Andrea,Baker,andrea.baker@sjsu.edu,MS Data Science,Graduate Student,2026-02-10,0
49,rodney.lewis49,Rodney,Lewis,rodney.lewis@sjsu.edu,MS Data Science,Graduate Student,2025-06-22,0
50,jessica.harris50,Jessica,Harris,jessica.harris@sjsu.edu,MS Data Science,Graduate Student,2025-01-13,0
51,wanda.santos51,Wanda,Santos,wanda.santos@sjsu.edu,MS Data Science,Teaching Assistant,2025-04-12,0
52,zachary.martinez52,Zachary,Martinez,zachary.martinez@sjsu.edu,MS Data Science,Graduate Student,2024-11-13,0
53,matthew.chapman53,Matthew,Chapman,matthew.chapman@sjsu.edu,MS Data Science,Graduate Student,2024-11-17,0
54,jeffrey.jones54,Jeffrey,Jones,jeffrey.jones@sjsu.edu,MS Data Science,Teaching Assistant,2025-08-25,0
55,jeremy.whitehead55,Jeremy,Whitehead,jeremy.whitehead@sjsu.edu,MS Data Science,Graduate Student,2026-02-01,0
56,chad.young56,Chad,Young,chad.young@sjsu.edu,MS Data Science,Teaching Assistant,2025-09-20,0
57,jason.anderson57,Jason,Anderson,jason.anderson@sjsu.edu,MS Data Science,Graduate Student,2026-03-26,0
58,ashley.kennedy58,Ashley,Kennedy,ashley.kennedy@sjsu.edu,MS Data Science,Graduate Student,2025-12-11,0
59,lindsey.lee59,Lindsey,Lee,lindsey.lee@sjsu.edu,MS Data Science,Graduate Student,2024-08-15,0
60,ryan.henderson60,Ryan,Henderson,ryan.henderson@sjsu.edu,MS Data Science,Teaching Assistant,2025-05-02,0
61,jessica.nunez61,Jessica,Nunez,jessica.nunez@sjsu.edu,MS Data Science,Graduate Student,2026-04-29,0
62,corey.powell62,Corey,Powell,corey.powell@sjsu.edu,MS Data Science,Teaching Assistant,2025-02-01,0
63,michelle.wright63,Michelle,Wright,michelle.wright@sjsu.edu,MS Information Systems,Teaching Assistant,2024-10-20,0
64,shane.henderson64,Shane,Henderson,shane.henderson@sjsu.edu,MS Information Systems,Graduate Student,2024-12-21,0
65,john.leblanc65,John,Leblanc,john.leblanc@sjsu.edu,MS Information Systems,Teaching Assistant,2025-04-15,0
66,michelle.pierce66,Michelle,Pierce,michelle.pierce@sjsu.edu,MS Information Systems,Graduate Student,2024-07-14,0
67,yvette.huff67,Yvette,Huff,yvette.huff@sjsu.edu,MS Information Systems,Teaching Assistant,2026-04-19,0
68,sara.allison68,Sara,Allison,sara.allison@sjsu.edu,MS Information Systems,Graduate Student,2024-10-03,0
69,todd.lewis69,Todd,Lewis,todd.lewis@sjsu.edu,MS Information Systems,Graduate Student,2025-03-17,0
70,brian.gray70,Brian,Gray,brian.gray@sjsu.edu,MS Information Systems,Teaching Assistant,2026-04-30,0
71,joseph.bowers71,Joseph,Bowers,joseph.bowers@sjsu.edu,MS Information Systems,Graduate Student,2025-04-23,0
72,rodney.bernard72,Rodney,Bernard,rodney.bernard@sjsu.edu,MS Information Systems,Graduate Student,2026-05-07,0
73,angela.higgins73,Angela,Higgins,angela.higgins@sjsu.edu,MS Information Systems,Graduate Student,2024-09-25,0
74,kenneth.novak74,Kenneth,Novak,kenneth.novak@sjsu.edu,MS Information Systems,Graduate Student,2025-07-20,0
75,amy.adkins75,Amy,Adkins,amy.adkins@sjsu.edu,MS Information Systems,Graduate Student,2024-07-19,0
76,breanna.shaw76,Breanna,Shaw,breanna.shaw@sjsu.edu,MS Information Systems,Graduate Student,2026-01-27,0
77,eric.yu77,Eric,Yu,eric.yu@sjsu.edu,MS Information Systems,Graduate Student,2024-08-04,0
78,jacob.larson78,Jacob,Larson,jacob.larson@sjsu.edu,MS Information Systems,Graduate Student,2025-09-25,0
79,joe.wilson79,Joe,Wilson,joe.wilson@sjsu.edu,MS Information Systems,Teaching Assistant,2026-02-23,0
80,john.wheeler80,John,Wheeler,john.wheeler@sjsu.edu,MS Information Systems,Graduate Student,2025-08-17,0
81,robert.silva81,Robert,Silva,robert.silva@sjsu.edu,MS Information Systems,Graduate Student,2025-06-10,0
82,sarah.harris82,Sarah,Harris,sarah.harris@sjsu.edu,MS Information Systems,Graduate Student,2025-10-24,0
83,john.foster83,John,Foster,john.foster@sjsu.edu,MS Information Systems,Graduate Student,2025-09-22,0
84,kevin.stewart84,Kevin,Stewart,kevin.stewart@sjsu.edu,MS Information Systems,Graduate Student,2025-11-18,0
85,charles.ellis85,Charles,Ellis,charles.ellis@sjsu.edu,MS Information Systems,Teaching Assistant,2026-05-09,0
86,wendy.jones86,Wendy,Jones,wendy.jones@sjsu.edu,MS Information Systems,Graduate Student,2024-11-05,0
87,joseph.mahoney87,Joseph,Mahoney,joseph.mahoney@sjsu.edu,MS Information Systems,Teaching Assistant,2026-02-16,0
88,natasha.wood88,Natasha,Wood,natasha.wood@sjsu.edu,MS Information Systems,Teaching Assistant,2024-09-27,0
89,martha.warner89,Martha,Warner,martha.warner@sjsu.edu,MS Information Systems,Teaching Assistant,2025-08-11,0
90,vanessa.valdez90,Vanessa,Valdez,vanessa.valdez@sjsu.edu,MS Information Systems,Graduate Student,2024-06-14,0
91,lisa.evans91,Lisa,Evans,lisa.evans@sjsu.edu,MS Applied Data Intelligence,Teaching Assistant,2025-09-17,0
92,sheila.taylor92,Sheila,Taylor,sheila.taylor@sjsu.edu,MS Applied Data Intelligence,Teaching Assistant,2024-08-28,0
93,daniel.tran93,Daniel,Tran,daniel.tran@sjsu.edu,MS Applied Data Intelligence,Graduate Student,2024-12-16,0
94,cassandra.robbins94,Cassandra,Robbins,cassandra.robbins@sjsu.edu,MS Applied Data Intelligence,Teaching Assistant,2024-10-29,0
95,cynthia.baker95,Cynthia,Baker,cynthia.baker@sjsu.edu,MS Applied Data Intelligence,Teaching Assistant,2025-05-17,0
96,rebecca.mathis96,Rebecca,Mathis,rebecca.mathis@sjsu.edu,MS Applied Data Intelligence,Graduate Student,2024-08-12,0
97,rodney.hill97,Rodney,Hill,rodney.hill@sjsu.edu,MS Applied Data Intelligence,Graduate Student,2024-06-11,0
98,kellie.walsh98,Kellie,Walsh,kellie.walsh@sjsu.edu,MS Applied Data Intelligence,Graduate Student,2024-12-09,0
99,joyce.arnold99,Joyce,Arnold,joyce.arnold@sjsu.edu,MS Applied Data Intelligence,Graduate Student,2025-04-04,0
100,alec.jones100,Alec,Jones,alec.jones@sjsu.edu,MS Applied Data Intelligence,Graduate Student,2026-02-18,0
101,rebecca.gardner101,Rebecca,Gardner,rebecca.gardner@sjsu.edu,MS Applied Data Intelligence,Teaching Assistant,2026-01-15,0
102,brandi.hernandez102,Brandi,Hernandez,brandi.hernandez@sjsu.edu,MS Applied Data Intelligence,Teaching Assistant,2024-09-06,0
103,kyle.nolan103,Kyle,Nolan,kyle.nolan@sjsu.edu,MS Applied Data Intelligence,Teaching Assistant,2025-12-19,0
104,michelle.nolan104,Michelle,Nolan,michelle.nolan@sjsu.edu,MS Applied Data Intelligence,Graduate Student,2024-11-03,0
105,john.garcia105,John,Garcia,john.garcia@sjsu.edu,MS Applied Data Intelligence,Teaching Assistant,2025-12-07,0
106,nicole.russell106,Nicole,Russell,nicole.russell@sjsu.edu,MS Applied Data Intelligence,Graduate Student,2025-08-18,0
107,eric.spears107,Eric,Spears,eric.spears@sjsu.edu,MS Applied Data Intelligence,Graduate Student,2026-02-05,0
108,theresa.cochran108,Theresa,Cochran,theresa.cochran@sjsu.edu,MS Applied Data Intelligence,Graduate Student,2026-02-16,0
109,angel.doyle109,Angel,Doyle,angel.doyle@sjsu.edu,MS Applied Data Intelligence,Graduate Student,2025-01-27,0
110,sarah.pham110,Sarah,Pham,sarah.pham@sjsu.edu,MS Applied Data Intelligence,Graduate Student,2026-02-04,0
111,lisa.adams111,Lisa,Adams,lisa.adams@sjsu.edu,MS Applied Data Intelligence,Graduate Student,2025-12-12,0
112,daniel.brennan112,Daniel,Brennan,daniel.brennan@sjsu.edu,MS Applied Data Intelligence,Graduate Student,2026-01-31,0
113,jeffrey.velasquez113,Jeffrey,Velasquez,jeffrey.velasquez@sjsu.edu,MS Applied Data Intelligence,Graduate Student,2025-04-27,0
114,kevin.pope114,Kevin,Pope,kevin.pope@sjsu.edu,MS Applied Data Intelligence,Graduate Student,2024-11-15,0
115,andrew.lee115,Andrew,Lee,andrew.lee@sjsu.edu,MS Applied Data Intelligence,Teaching Assistant,2025-01-25,0
116,michelle.rasmussen116,Michelle,Rasmussen,michelle.rasmussen@sjsu.edu,MS Applied Data Intelligence,Teaching Assistant,2024-12-21,0
117,darlene.ross117,Darlene,Ross,darlene.ross@sjsu.edu,MS Applied Data Intelligence,Graduate Student,2026-04-27,0
118,amanda.crosby118,Amanda,Crosby,amanda.crosby@sjsu.edu,MS Applied Data Intelligence,Graduate Student,2024-08-28,0
119,tara.white119,Tara,White,tara.white@sjsu.edu,MS Applied Data Intelligence,Teaching Assistant,2026-04-14,0
120,joseph.rodriguez120,Joseph,Rodriguez,joseph.rodriguez@sjsu.edu,MS Applied Data Intelligence,Graduate Student,2025-04-09,0
